part-time 兼职的；部分时间的
right-handed 惯用右手的
roundabout 绕道的，不直接的
round-trip 来回的，往返的
secondhand 二手的
simple-minded 纯朴的，头脑简单的
smoke-free 非吸烟的，无烟的
so-called 所谓的，号称的
so-so 一般的，不怎么样的
straightforward 简单的，坦率的
sunburnt 晒黑的
take-free 免税的
underground 地下的
warm-hearted 热心的
wayside 路边的
well-known 出名的，众所周知的
widespread 分布广的，普遍的
world-famous 世界闻名的
worldwide 遍及全球的
worthwhile 值得做的

现在分词转化而来的形容词
amazing 令人惊奇的
boring 乏味的，无聊的；令人厌烦的
challenging 具有挑战性的
disgusting 令人不快的
disturbing 令人不安的
exciting 令人兴奋的；令人激动的
flaming 红火的；火焰般的
following 接着的，以下的
freezing 冻结的，极冷的
interesting 有趣的
leading 最主要的，第一位的
living 活着的
missing 丢掉的；失踪的
moving 移动的；动人的
surrounding 周围的
willing 乐意的，愿意的
accustomed 习惯了的
addicted 上瘾的，成瘾的
ashamed 惭愧的；害臊的
bent 弯的
bored 烦闷的
born 出生
bound 被束缚的；有义务的
broken 弄坏了的，打破了的
closed 关着的
crowded 拥挤的
delighted 高兴的，快乐的
disabled 残废的，残疾的；残疾的
drunk 醉的
excited 兴奋的，激动的
fried 油煎的
frightened 感到恐惧的
furnished 配备了家具的
gifted 有天赋的，有才华的
interested 感兴趣的
learned 有才华的，博学的
married 已婚的
mistaken 错误的
pleased 高兴的
puzzled 迷惑的，困惑的
skilled 熟练的；有技能的
spoken 口语的
tired 疲劳的，累的；疲倦的
upset 心烦的，苦恼的
used 用过的，旧的
worn 用坏了的；疲惫
worried 担心的，烦恼的
wounded 受伤的

标语形容词
afraid 害怕的；担心的
alive 活着的，存在的；活着的
alone 单独的，独自的；独自的
asleep 睡着的，熟睡的
aware 知道，意识到
fond 喜爱的，爱好的
ill 生病的；有病的；不健康的
scared 害怕的，恐惧的

颜色形容词
black 黑色的
blue 蓝色的；悲伤的，沮丧的
brown 褐色的，棕色的
dark 黑暗的；深色的
fair （肤色）白皙的；公平的；合理的；集市
golden 金（黄）色的；金色的
green 绿色的；青的
grey 灰色的；灰白的
lemon 柠檬色（味）的；柠檬
orange 橘色的，橙色的；橙子；橙色的
pale 苍白的，灰白的
pink 粉红色的
purple 紫色的
red 红色的
white 白色的
yellow 黄色的

天气形容词
cloudy 多云的，阴天的
cold 冷的，寒冷的；冷的；感冒
cool 凉的；冷酷的；凉爽的；酷的
damp 潮湿的
dim 昏暗的
dry 干燥的；干的
foggy 多雾的
fine 晴朗的，美好的；细的；晴朗的；美好的；好的
hot 热的
mild 温和的，凉爽的
misty 有雾的，多雾的
rainy 下雨的，多雨的
snowy 下雪的，雪白的
sunny 晴朗的，阳光充足的
warm 缓和的，热情的；温暖的
wet 湿的，湿的
windy 有风的，多风的

方位形容词
back 后面的
down 向下的，下行的；向下
east 东部的，朝东的；东方
eastern 东方的，东部的
front 前部的，前面的
left 左边的；剩下的
middle 中间的，中级的；中间；中等的
north 北的，朝北的；北方
northern 北方的，北部的
offshore 近海的
opposite 相反的，对面的
outer 外部的，外面的
right 右边的；对的，正确的；正确的
south 南部的，朝南的；南方
southern 南方的，南部的
